rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
1,curated_init_1v1_fixed_mutator.red,839.00,72.83,1152.00,839.00,72.83,1037.15,69.25,243,31,110,384,63.28,28.65,8.07,8854.8,23560.9,6015.11,6560.02,16
2,random_init_1v1_fixed_mutator.red,692.00,60.07,1152.00,692.00,60.07,871.89,58.22,217,126,41,384,56.51,10.68,32.81,11585.3,20437.4,1254.27,147.93,16
3,Spiral_Bomber_Optimized_v22.red,612.00,53.12,1152.00,612.00,53.12,762.21,50.90,182,136,66,384,47.40,17.19,35.42,13181.3,19702.5,2575.94,41.18,16
4,curated_init_multi_fixed_mutator.red,590.00,51.22,1152.00,590.00,51.22,694.46,46.37,139,72,173,384,36.20,45.05,18.75,19735.0,28380.2,10925.66,3496.16,16
5,random_init_multi_fixed_mutator.red,366.00,31.77,1152.00,366.00,31.77,459.19,30.66,77,172,135,384,20.05,35.16,44.79,1997.9,29792.1,17974.37,397.70,16
6,Ring_Warrior_Enhanced_v9.red,272.00,23.61,1152.00,272.00,23.61,338.03,22.57,48,208,128,384,12.50,33.33,54.17,17.0,21956.2,5014.43,65.77,16
