rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
23,snake.red,16056.00,70.35,22824.00,16056.00,70.35,19069.58,64.27,4599,750,2259,7608,60.45,29.69,9.86,23254.5,20704.4,4218.99,70.83,317
24,zippol.red,15919.00,69.75,22824.00,15919.00,69.75,19391.83,65.36,4486,661,2461,7608,58.96,32.35,8.69,12516.5,20304.2,21792.11,43.75,317
25,moonstone.red,15899.00,69.66,22824.00,15899.00,69.66,19768.12,66.62,4639,987,1982,7608,60.98,26.05,12.97,7706.3,19494.2,4469.68,92.38,317
26,illusion.red,15780.00,69.14,22824.00,15780.00,69.14,18233.70,61.45,4630,1088,1890,7608,60.86,24.84,14.30,34971.1,19900.4,4667.64,58.22,317
27,molerat.red,15728.00,68.91,22824.00,15728.00,68.91,18918.75,63.76,4352,584,2672,7608,57.20,35.12,7.68,16653.0,30575.6,9301.56,3388.43,317
28,wellIdont.red,15692.00,68.75,22824.00,15692.00,68.75,18385.75,61.96,4097,110,3401,7608,53.85,44.70,1.45,22002.3,37390.4,11367.32,2898.58,317
29,bpp.red,15595.00,68.33,22824.00,15595.00,68.33,18837.70,63.49,4522,1057,2029,7608,59.44,26.67,13.89,17511.6,12064.4,2343.18,280.39,317
30,sleepless.red,15568.00,68.21,22824.00,15568.00,68.21,19357.79,65.24,4432,904,2272,7608,58.25,29.86,11.88,6390.6,26466.6,26513.55,63.12,317
31,imprimis6.red,15558.00,68.17,22824.00,15558.00,68.17,18417.09,62.07,4145,340,3123,7608,54.48,41.05,4.47,20115.1,39166.9,5939.97,6916.53,317
32,tombstone.red,15552.00,68.14,22824.00,15552.00,68.14,19445.19,65.54,4639,1334,1635,7608,60.98,21.49,17.53,6934.0,11988.2,18664.99,215.66,317
33,bscanlive.red,15533.00,68.06,22824.00,15533.00,68.06,18835.76,63.48,4580,1235,1793,7608,60.20,23.57,16.23,17487.2,13244.8,19406.38,343.35,317
34,precipice.red,15523.00,68.01,22824.00,15523.00,68.01,18746.18,63.18,4515,1115,1978,7608,59.35,26.00,14.66,18517.9,17986.5,1775.62,292.59,317
35,stone88.red,15450.00,67.69,22824.00,15450.00,67.69,19275.07,64.96,4605,1368,1635,7608,60.53,21.49,17.98,7721.8,11784.2,835.84,358.48,317
36,synch4.red,15422.00,67.57,22824.00,15422.00,67.57,18758.41,63.22,4544,1274,1790,7608,59.73,23.53,16.75,16962.3,17883.5,19308.29,107.36,317
37,nightfall.red,15350.00,67.25,22824.00,15350.00,67.25,18225.80,61.43,3943,144,3521,7608,51.83,46.28,1.89,15751.5,35860.4,17151.16,3841.26,317
38,proteus3.red,15320.00,67.12,22824.00,15320.00,67.12,18623.22,62.77,4176,640,2792,7608,54.89,36.70,8.41,11326.1,24037.3,6963.49,1673.88,317
39,eloquent.red,15248.00,66.81,22824.00,15248.00,66.81,18058.27,60.86,4014,388,3206,7608,52.76,42.14,5.10,19271.0,34999.2,8804.62,3649.26,317
40,eclipse2.red,15229.00,66.72,22824.00,15229.00,66.72,18729.41,63.12,4435,1249,1924,7608,58.29,25.29,16.42,12209.4,18908.7,21411.36,228.75,317
41,impire.red,14958.00,65.54,22824.00,14958.00,65.54,17611.00,59.35,3970,590,3048,7608,52.18,40.06,7.75,23072.1,37443.5,1170.93,7001.09,317
42,confetti.red,14920.00,65.37,22824.00,14920.00,65.37,18679.32,62.95,4289,1266,2053,7608,56.37,26.98,16.64,4375.1,17428.1,22377.46,273.00,317
43,noties2.red,14895.00,65.26,22824.00,14895.00,65.26,18580.47,62.62,4367,1447,1794,7608,57.40,23.58,19.02,6801.2,12343.9,968.00,356.56,317
44,tungsten.red,14890.00,65.24,22824.00,14890.00,65.24,18058.87,60.86,4303,1324,1981,7608,56.56,26.04,17.40,16454.3,14003.7,20973.00,139.57,317
45,hellicon.red,14855.00,65.08,22824.00,14855.00,65.08,18057.94,60.86,4010,773,2825,7608,52.71,37.13,10.16,10965.9,22932.5,8203.16,1179.14,317
46,imprimis4.red,14828.00,64.97,22824.00,14828.00,64.97,17524.33,59.06,3829,438,3341,7608,50.33,43.91,5.76,19725.0,45618.8,2056.65,7121.45,317
47,smoothnod6.red,14825.00,64.95,22824.00,14825.00,64.95,17933.19,60.44,3869,521,3218,7608,50.85,42.30,6.85,9935.4,22473.2,9330.68,2154.49,317
48,parthenos.red,14718.00,64.48,22824.00,14718.00,64.48,17620.97,59.39,3988,866,2754,7608,52.42,36.20,11.38,17341.4,21198.8,7469.13,67.27,317
49,challenge1.red,14608.00,64.00,22824.00,14608.00,64.00,17473.95,58.89,3919,838,2851,7608,51.51,37.47,11.01,16853.4,19544.9,20392.85,68.46,317
50,nothingspII.red,14569.00,63.83,22824.00,14569.00,63.83,17395.19,58.63,3843,725,3040,7608,50.51,39.96,9.53,16379.1,20861.3,7010.08,87.72,317
51,noties.red,14567.00,63.82,22824.00,14567.00,63.82,18151.64,61.18,4231,1503,1874,7608,55.61,24.63,19.76,6713.8,12815.8,996.12,463.98,317
52,armadillo88.red,14486.00,63.47,22824.00,14486.00,63.47,16990.31,57.26,3882,886,2840,7608,51.03,37.33,11.65,24588.8,19043.1,21717.41,95.21,317
53,engine9.red,14486.00,63.47,22824.00,14486.00,63.47,17440.28,58.78,3821,764,3023,7608,50.22,39.73,10.04,13750.4,27867.7,12560.30,2371.35,317
54,hitbeast.red,14450.00,63.31,22824.00,14450.00,63.31,17440.07,58.78,4081,1320,2207,7608,53.64,29.01,17.35,16792.1,13351.1,20534.03,60.73,317
55,drone.red,14428.00,63.21,22824.00,14428.00,63.21,16454.84,55.46,4131,1442,2035,7608,54.30,26.75,18.95,38538.8,13868.0,1096.92,308.65,317
56,vent.red,14382.00,63.01,22824.00,14382.00,63.01,16802.96,56.63,4008,1242,2358,7608,52.68,30.99,16.32,28655.5,17042.6,18152.22,235.93,317
57,twill.red,14342.00,62.84,22824.00,14342.00,62.84,17682.20,59.59,3833,932,2843,7608,50.38,37.37,12.25,4681.3,19820.6,2842.48,115.81,317
58,uzi2.red,14327.00,62.77,22824.00,14327.00,62.77,17761.86,59.86,4006,1293,2309,7608,52.66,30.35,17.00,8134.4,30326.8,2853.76,990.92,317
59,emerald.red,14319.00,62.74,22824.00,14319.00,62.74,17650.64,59.49,3859,1007,2742,7608,50.72,36.04,13.24,5839.3,22254.4,20051.55,267.74,317
60,nerxa16.red,14304.00,62.67,22824.00,14304.00,62.67,17756.51,59.84,4105,1514,1989,7608,53.96,26.14,19.90,9894.5,28394.7,2571.17,883.31,317
61,pittrap.red,14287.00,62.60,22824.00,14287.00,62.60,16987.50,57.25,4075,1471,2062,7608,53.56,27.10,19.33,23296.0,13728.7,996.11,208.10,317
62,chaos.red,14273.00,62.54,22824.00,14273.00,62.54,17237.93,58.10,3703,741,3164,7608,48.67,41.59,9.74,11447.2,29448.5,10460.35,3026.51,317
63,mutagen21.red,14225.00,62.32,22824.00,14225.00,62.32,17332.55,58.42,3959,1301,2348,7608,52.04,30.86,17.10,13179.4,20207.5,10764.70,106.06,317
64,imps.red,14202.00,62.22,22824.00,14202.00,62.22,17192.91,57.94,3864,1134,2610,7608,50.79,34.31,14.91,13052.3,14231.5,561.48,797.91,317
65,emerald2.red,14165.00,62.06,22824.00,14165.00,62.06,17469.98,58.88,3803,1049,2756,7608,49.99,36.23,13.79,5074.9,18952.4,19236.06,222.76,317
66,small4.red,14145.00,61.97,22824.00,14145.00,61.97,17047.64,57.46,3884,1231,2493,7608,51.05,32.77,16.18,15178.7,11417.0,19149.75,204.96,317
67,flamdownpour.red,14136.00,61.93,22824.00,14136.00,61.93,16938.34,57.09,3656,784,3168,7608,48.05,41.64,10.30,13798.1,20269.2,7595.88,2696.38,317
68,small2.red,14097.00,61.76,22824.00,14097.00,61.76,16989.52,57.26,3872,1255,2481,7608,50.89,32.61,16.50,15397.0,12495.7,19284.00,212.92,317
69,earnest.red,13975.00,61.23,22824.00,13975.00,61.23,16341.63,55.08,3505,643,3460,7608,46.07,45.48,8.45,22539.6,31383.2,7950.00,6256.29,317
70,rex.red,13842.00,60.65,22824.00,13842.00,60.65,16961.03,57.16,3981,1728,1899,7608,52.33,24.96,22.71,12872.3,13036.8,14597.70,291.02,317
71,livingdead.red,13839.00,60.63,22824.00,13839.00,60.63,17224.67,58.05,3928,1625,2055,7608,51.63,27.01,21.36,7207.1,20793.6,19868.65,187.72,317
72,t-rex.red,13780.00,60.38,22824.00,13780.00,60.38,16628.09,56.04,3553,934,3121,7608,46.70,41.02,12.28,11400.7,22716.9,8446.49,3196.79,317
73,mice.red,13777.00,60.36,22824.00,13777.00,60.36,16489.13,55.57,3494,819,3295,7608,45.93,43.31,10.76,14180.3,30504.8,11792.27,2177.45,317
74,x5v14.red,13740.00,60.20,22824.00,13740.00,60.20,16617.43,56.01,3846,1560,2202,7608,50.55,28.94,20.50,15636.9,11872.3,2139.33,615.04,317
75,passport.red,13727.00,60.14,22824.00,13727.00,60.14,16274.62,54.85,3387,655,3566,7608,44.52,46.87,8.61,15914.8,32285.1,7402.08,3686.42,317
76,nerxa19.red,13573.00,59.47,22824.00,13573.00,59.47,16419.48,55.34,3395,825,3388,7608,44.62,44.53,10.84,8771.0,30539.3,2190.00,6559.12,317
77,antidwarf2.red,13539.00,59.32,22824.00,13539.00,59.32,16774.42,56.53,3796,1661,2151,7608,49.89,28.27,21.83,8400.1,21402.2,16375.88,202.26,317
78,rato.red,13535.00,59.30,22824.00,13535.00,59.30,16085.53,54.21,3310,693,3605,7608,43.51,47.38,9.11,14420.7,31320.1,7514.38,3978.20,317
79,wisp.red,13421.00,58.80,22824.00,13421.00,58.80,15861.74,53.46,3578,1343,2687,7608,47.03,35.32,17.65,22242.4,17252.3,23486.92,436.98,317
80,djungleb.red,13190.00,57.79,22824.00,13190.00,57.79,14918.77,50.28,3481,1380,2747,7608,45.75,36.11,18.14,38657.0,15902.6,973.29,377.09,317
81,rock.red,13049.00,57.17,22824.00,13049.00,57.17,16112.74,54.30,3454,1467,2687,7608,45.40,35.32,19.28,3640.6,13170.4,793.66,461.95,317
82,polydwarf.red,12971.00,56.83,22824.00,12971.00,56.83,15835.50,53.37,3270,1177,3161,7608,42.98,41.55,15.47,6825.9,29330.6,21540.92,667.70,317
83,nerxa9.red,12830.00,56.21,22824.00,12830.00,56.21,15081.48,50.83,3487,1752,2369,7608,45.83,31.14,23.03,26441.2,17173.4,2587.39,181.63,317
84,v3.red,12824.00,56.19,22824.00,12824.00,56.19,15686.59,52.87,3366,1516,2726,7608,44.24,35.83,19.93,7000.3,12965.0,1760.07,172.98,317
85,mousebomb.red,12754.00,55.88,22824.00,12754.00,55.88,15020.81,50.62,3057,968,3583,7608,40.18,47.10,12.72,18614.5,32166.7,5118.77,1608.68,317
86,stone.red,12714.00,55.70,22824.00,12714.00,55.70,15640.56,52.71,3289,1472,2847,7608,43.23,37.42,19.35,3524.8,13163.2,759.87,438.38,317
87,villam.red,12677.00,55.54,22824.00,12677.00,55.54,15500.89,52.24,3192,1315,3101,7608,41.96,40.76,17.28,2891.4,8353.7,1883.36,943.50,317
88,curse.red,12627.00,55.32,22824.00,12627.00,55.32,14841.83,50.02,3433,1847,2328,7608,45.12,30.60,24.28,26423.7,15771.5,2020.51,230.41,317
89,hithard.red,12602.00,55.21,22824.00,12602.00,55.21,14637.49,49.33,3399,1804,2405,7608,44.68,31.61,23.71,30445.9,15588.0,2918.07,295.58,317
90,dwarfmice.red,12524.00,54.87,22824.00,12524.00,54.87,15116.32,50.95,3095,1274,3239,7608,40.68,42.57,16.75,10799.9,28705.6,20424.94,809.06,317
91,eclipse.red,12518.00,54.85,22824.00,12518.00,54.85,15329.21,51.66,3352,1794,2462,7608,44.06,32.36,23.58,9786.1,18220.8,17406.51,205.41,317
92,emerald5.red,12472.00,54.64,22824.00,12472.00,54.64,15422.46,51.98,3419,1974,2215,7608,44.94,29.11,25.95,8133.6,18865.7,21588.95,301.67,317
93,dwarf.red,12440.00,54.50,22824.00,12440.00,54.50,15360.94,51.77,3242,1652,2714,7608,42.61,35.67,21.71,2962.7,13462.6,749.03,497.54,317
94,bubbles.red,12438.00,54.50,22824.00,12438.00,54.50,14942.45,50.36,3301,1772,2535,7608,43.39,33.32,23.29,15353.2,11705.3,8205.08,292.35,317
95,warf.red,12335.00,54.04,22824.00,12335.00,54.04,15244.02,51.38,3220,1713,2675,7608,42.32,35.16,22.52,3731.6,17068.8,14694.85,353.66,317
96,rat.red,12307.00,53.92,22824.00,12307.00,53.92,14587.40,49.16,3105,1511,2992,7608,40.81,39.33,19.86,19025.1,19916.8,11235.12,677.22,317
97,dwarfpp.red,12284.00,53.82,22824.00,12284.00,53.82,15169.17,51.12,3213,1750,2645,7608,42.23,34.77,23.00,3182.1,12399.2,875.70,321.21,317
98,kopi.red,12266.00,53.74,22824.00,12266.00,53.74,14364.86,48.41,2657,656,4295,7608,34.92,56.45,8.62,13216.2,31283.5,14158.27,2373.27,317
99,advanceddwarf.red,12218.00,53.53,22824.00,12218.00,53.53,15060.72,50.76,3171,1732,2705,7608,41.68,35.55,22.77,4305.5,16445.2,18793.20,189.77,317
100,glassrep.red,12135.00,53.17,22824.00,12135.00,53.17,14594.28,49.19,3021,1515,3072,7608,39.71,40.38,19.91,13515.9,26368.0,3496.64,1447.43,317
101,slowdown.red,12010.00,52.62,22824.00,12010.00,52.62,14461.85,48.74,3060,1718,2830,7608,40.22,37.20,22.58,11770.4,11995.4,2352.83,4437.75,317
102,dwarf28.red,12006.00,52.60,22824.00,12006.00,52.60,14829.28,49.98,3117,1836,2655,7608,40.97,34.90,24.13,2766.9,12528.2,867.05,560.69,317
103,gem.red,11909.00,52.18,22824.00,11909.00,52.18,14061.81,47.39,2661,1021,3926,7608,34.98,51.60,13.42,13451.1,31455.9,9939.27,1066.69,317
104,acidrain.red,11779.00,51.61,22824.00,11779.00,51.61,13972.08,47.09,2586,1001,4021,7608,33.99,52.85,13.16,10185.9,32369.2,2643.08,1182.86,317
105,nova.red,11584.00,50.75,22824.00,11584.00,50.75,13694.16,46.15,2650,1324,3634,7608,34.83,47.77,17.40,14407.1,23365.0,1575.39,3870.61,317
106,csapda.red,11461.00,50.21,22824.00,11461.00,50.21,12147.95,40.94,2477,1101,4030,7608,32.56,52.97,14.47,58121.7,14038.9,1610.16,230.68,317
107,bynars.red,11447.00,50.15,22824.00,11447.00,50.15,14157.01,47.71,3101,2363,2144,7608,40.76,28.18,31.06,6105.5,11181.7,1379.69,565.01,317
108,dwarfer2.red,11347.00,49.72,22824.00,11347.00,49.72,13326.12,44.91,2435,1131,4042,7608,32.01,53.13,14.87,14504.1,32703.8,3149.21,1154.03,317
109,backtrack7.red,11321.00,49.60,22824.00,11321.00,49.60,13898.46,46.84,2925,2137,2546,7608,38.45,33.46,28.09,7552.1,18106.6,14995.42,220.90,317
110,scoop23.red,11319.00,49.59,22824.00,11319.00,49.59,13712.51,46.21,2829,1947,2832,7608,37.18,37.22,25.59,8883.2,13366.9,6062.99,209.84,317
111,dumdum.red,11314.00,49.57,22824.00,11314.00,49.57,13991.07,47.15,2907,2108,2593,7608,38.21,34.08,27.71,1719.8,11101.8,1089.43,613.46,317
112,virus.red,11183.00,49.00,22824.00,11183.00,49.00,13258.13,44.68,2462,1349,3797,7608,32.36,49.91,17.73,11649.3,26981.0,8163.37,2088.35,317
113,mrnasty.red,11005.00,48.22,22824.00,11005.00,48.22,13596.65,45.82,2958,2519,2131,7608,38.88,28.01,33.11,6788.8,12335.8,1281.86,353.52,317
114,splitbomb.red,11001.00,48.20,22824.00,11001.00,48.20,12832.86,43.25,2318,1243,4047,7608,30.47,53.19,16.34,13747.0,16757.3,6668.07,203.07,317
115,cleaver.red,10998.00,48.19,22824.00,10998.00,48.19,13438.66,45.29,2675,1960,2973,7608,35.16,39.08,25.76,2697.8,11668.1,1678.74,550.64,317
116,tolive.red,10898.00,47.75,22824.00,10898.00,47.75,12149.57,40.95,2549,1808,3251,7608,33.50,42.73,23.76,40827.5,14187.2,16079.36,389.95,317
117,elf.red,10804.00,47.34,22824.00,10804.00,47.34,12622.78,42.54,2150,1104,4354,7608,28.26,57.23,14.51,9783.2,21813.9,2807.77,38.35,317
118,emerald4.red,10741.00,47.06,22824.00,10741.00,47.06,12896.71,43.47,2635,2137,2836,7608,34.63,37.28,28.09,14634.6,20405.6,9659.53,267.24,317
119,trident.red,10633.00,46.59,22824.00,10633.00,46.59,12625.94,42.55,2268,1511,3829,7608,29.81,50.33,19.86,4029.8,7221.2,916.68,6348.04,317
120,wang.red,10544.00,46.20,22824.00,10544.00,46.20,12561.59,42.34,2416,1896,3296,7608,31.76,43.32,24.92,15221.4,27100.4,2765.69,1274.85,317
121,impring.red,10539.00,46.18,22824.00,10539.00,46.18,12504.23,42.14,2232,1533,3843,7608,29.34,50.51,20.15,3864.7,6975.9,971.52,6243.78,317
122,keystonet13.red,10522.00,46.10,22824.00,10522.00,46.10,12703.92,42.82,2634,2354,2620,7608,34.62,34.44,30.94,13502.2,17962.6,17793.75,281.27,317
123,dwarfvampire.red,10499.00,46.00,22824.00,10499.00,46.00,12524.53,42.21,2380,1869,3359,7608,31.28,44.15,24.57,9621.3,15103.5,1202.21,548.45,317
124,crimson.red,10395.00,45.54,22824.00,10395.00,45.54,11845.43,39.92,2604,2421,2583,7608,34.23,33.95,31.82,36577.1,14734.0,2785.18,1044.60,317
125,signalgun.red,10349.00,45.34,22824.00,10349.00,45.34,12003.66,40.46,1941,1141,4526,7608,25.51,59.49,15.00,10067.6,22365.4,3131.09,112.54,317
126,xdwarfer.red,10310.00,45.17,22824.00,10310.00,45.17,11946.43,40.26,2005,1308,4295,7608,26.35,56.45,17.19,11502.8,13974.1,7831.93,518.81,317
127,fortress.red,10198.00,44.68,22824.00,10198.00,44.68,11987.62,40.40,2016,1442,4150,7608,26.50,54.55,18.95,5561.7,14058.6,573.99,3355.46,317
128,ike.red,10080.00,44.16,22824.00,10080.00,44.16,11294.51,38.07,1857,1242,4509,7608,24.41,59.27,16.32,25833.4,13349.5,18336.51,182.17,317
129,astrogem.red,10068.00,44.11,22824.00,10068.00,44.11,12106.93,40.80,2390,2320,2898,7608,31.41,38.09,30.49,11179.4,16251.0,1459.68,4528.27,317
130,polen.red,9991.00,43.77,22824.00,9991.00,43.77,11506.47,38.78,1728,1073,4807,7608,22.71,63.18,14.10,11308.6,33570.4,2981.30,860.57,317
131,shrimp.red,9950.00,43.59,22824.00,9950.00,43.59,11469.30,38.65,1837,1332,4439,7608,24.15,58.35,17.51,13750.7,22548.9,1087.51,5579.31,317
132,mortaux.red,9928.00,43.50,22824.00,9928.00,43.50,12074.23,40.69,2293,2266,3049,7608,30.14,40.08,29.78,2962.2,14028.8,1178.46,571.18,317
133,impbreed11.red,9913.00,43.43,22824.00,9913.00,43.43,11426.06,38.51,1817,1329,4462,7608,23.88,58.65,17.47,15137.3,28169.6,2111.24,1812.55,317
134,tamper.red,9560.00,41.89,22824.00,9560.00,41.89,11048.60,37.24,1712,1472,4424,7608,22.50,58.15,19.35,9301.2,17246.8,789.56,87.30,317
135,scoop11.red,9519.00,41.71,22824.00,9519.00,41.71,11008.62,37.10,1761,1611,4236,7608,23.15,55.68,21.18,9874.5,12457.4,6403.78,195.93,317
136,middle.red,9514.00,41.68,22824.00,9514.00,41.68,10892.35,36.71,1583,1260,4765,7608,20.81,62.63,16.56,12482.2,27926.9,2400.76,2208.74,317
137,impdwarf.red,9424.00,41.29,22824.00,9424.00,41.29,11242.17,37.89,1963,2110,3535,7608,25.80,46.46,27.73,5337.4,16051.6,3485.14,1199.90,317
138,wuss.red,9424.00,41.29,22824.00,9424.00,41.29,10898.30,36.73,1701,1586,4321,7608,22.36,56.80,20.85,10098.0,17230.2,910.75,103.73,317
139,dwarfgun.red,9222.00,40.40,22824.00,9222.00,40.40,10712.20,36.10,1685,1756,4167,7608,22.15,54.77,23.08,14810.4,28981.0,2566.09,854.44,317
140,ironsword.red,9161.00,40.14,22824.00,9161.00,40.14,10230.36,34.48,1615,1677,4316,7608,21.23,56.73,22.04,27518.2,13813.9,1386.01,377.84,317
141,divnconq.red,9079.00,39.78,22824.00,9079.00,39.78,10578.07,35.65,1796,2121,3691,7608,23.61,48.51,27.88,16977.1,21281.5,7739.90,1167.60,317
142,auto.red,9012.00,39.48,22824.00,9012.00,39.48,10711.03,36.10,1796,2188,3624,7608,23.61,47.63,28.76,5588.3,17873.6,1931.92,648.61,317
143,crazyimp.red,8975.00,39.32,22824.00,8975.00,39.32,9827.62,33.12,990,613,6005,7608,13.01,78.93,8.06,12643.5,33421.3,2434.58,6310.52,317
144,crimp2.red,8944.00,39.19,22824.00,8944.00,39.19,10323.99,34.79,2038,2740,2830,7608,26.79,37.20,36.01,27982.6,13676.2,5992.53,299.89,317
145,paratrooper.red,8944.00,39.19,22824.00,8944.00,39.19,9783.23,32.97,947,558,6103,7608,12.45,80.22,7.33,10069.0,33762.7,2418.25,6652.32,317
146,bownarrow.red,8924.00,39.10,22824.00,8924.00,39.10,9921.23,33.44,1173,1030,5405,7608,15.42,71.04,13.54,15607.6,28639.3,1931.41,1596.55,317
147,homunculus.red,8916.00,39.06,22824.00,8916.00,39.06,10101.84,34.05,1323,1338,4947,7608,17.39,65.02,17.59,9936.4,21380.4,11293.14,2625.15,317
148,spreel.red,8912.00,39.05,22824.00,8912.00,39.05,10694.28,36.04,2005,2706,2897,7608,26.35,38.08,35.57,10135.9,15255.8,2451.47,2296.89,317
149,harpye.red,8909.00,39.03,22824.00,8909.00,39.03,10624.86,35.81,1802,2303,3503,7608,23.69,46.04,30.27,2573.5,12699.1,1504.25,440.16,317
150,street.red,8872.00,38.87,22824.00,8872.00,38.87,9960.29,33.57,1216,1168,5224,7608,15.98,68.66,15.35,10890.1,24463.3,2741.59,3233.20,317
151,killer2.red,8813.00,38.61,22824.00,8813.00,38.61,9768.60,32.92,1047,889,5672,7608,13.76,74.55,11.69,11027.9,32214.5,2073.66,6558.76,317
152,fastvamp31.red,8781.00,38.47,22824.00,8781.00,38.47,10048.82,33.87,1364,1555,4689,7608,17.93,61.63,20.44,8474.0,21897.3,5951.77,1889.59,317
153,eru.red,8719.00,38.20,22824.00,8719.00,38.20,9756.04,32.88,1197,1283,5128,7608,15.73,67.40,16.86,16598.4,28567.7,2197.77,2129.97,317
154,superimp.red,8700.00,38.12,22824.00,8700.00,38.12,10169.97,34.28,1641,2190,3777,7608,21.57,49.65,28.79,4507.3,6966.7,1093.54,5347.17,317
155,worm.red,8696.00,38.10,22824.00,8696.00,38.10,9630.96,32.46,1059,1030,5519,7608,13.92,72.54,13.54,13721.4,28219.3,1624.24,1673.29,317
156,twopir.red,8684.00,38.05,22824.00,8684.00,38.05,10159.00,34.24,1636,2196,3776,7608,21.50,49.63,28.86,3958.0,6871.5,1114.13,5305.67,317
157,ultra.red,8680.00,38.03,22824.00,8680.00,38.03,10306.56,34.74,1962,2852,2794,7608,25.79,36.72,37.49,14455.1,12610.2,2735.55,1241.85,317
158,impgun.red,8626.00,37.79,22824.00,8626.00,37.79,9588.13,32.31,1069,1120,5419,7608,14.05,71.23,14.72,13449.4,28889.0,1619.97,2042.01,317
159,breadman.red,8602.00,37.69,22824.00,8602.00,37.69,9562.81,32.23,1061,1128,5419,7608,13.95,71.23,14.83,13318.7,29234.5,1636.71,2032.52,317
160,stasis.red,8583.00,37.61,22824.00,8583.00,37.61,9729.05,32.79,1292,1609,4707,7608,16.98,61.87,21.15,8510.7,13294.8,4726.11,447.53,317
161,hidenseek.red,8530.00,37.37,22824.00,8530.00,37.37,9781.90,32.97,1287,1652,4669,7608,16.92,61.37,21.71,9869.5,28631.3,2099.88,1171.90,317
162,blanket.red,8524.00,37.35,22824.00,8524.00,37.35,9864.84,33.25,1598,2280,3730,7608,21.00,49.03,29.97,15508.4,15916.1,1459.91,404.53,317
163,mortar.red,8524.00,37.35,22824.00,8524.00,37.35,9928.06,33.46,1560,2204,3844,7608,20.50,50.53,28.97,8526.3,13584.4,1355.33,469.23,317
164,dwarfjumper.red,8449.00,37.02,22824.00,8449.00,37.02,9681.47,32.63,1292,1743,4573,7608,16.98,60.11,22.91,3894.8,14490.3,783.59,712.73,317
165,signal.red,8362.00,36.64,22824.00,8362.00,36.64,9632.85,32.47,1356,1958,4294,7608,17.82,56.44,25.74,7380.8,16654.5,1255.47,296.27,317
166,clamp.red,8296.00,36.35,22824.00,8296.00,36.35,9887.68,33.32,1825,2962,2821,7608,23.99,37.08,38.93,12719.9,14202.0,8231.66,604.33,317
167,turtle.red,8291.00,36.33,22824.00,8291.00,36.33,9902.83,33.38,1812,2941,2855,7608,23.82,37.53,38.66,8337.1,10267.3,1342.30,4615.60,317
168,jumperclear.red,8257.00,36.18,22824.00,8257.00,36.18,9953.26,33.55,1868,3087,2653,7608,24.55,34.87,40.58,8555.2,12623.8,1597.35,854.74,317
169,irongate.red,8214.00,35.99,22824.00,8214.00,35.99,8958.11,30.19,807,1008,5793,7608,10.61,76.14,13.25,5850.7,14073.3,7381.55,82.41,317
170,irontrap.red,8145.00,35.69,22824.00,8145.00,35.69,8878.70,29.92,804,1071,5733,7608,10.57,75.35,14.08,6863.1,13479.3,7417.12,83.19,317
171,jumpysucker.red,8127.00,35.61,22824.00,8127.00,35.61,9358.71,31.54,1247,1975,4386,7608,16.39,57.65,25.96,9302.4,24294.5,3023.42,3132.86,317
172,lichen.red,8047.00,35.26,22824.00,8047.00,35.26,9702.20,32.70,1822,3205,2581,7608,23.95,33.92,42.13,4027.9,6113.1,1214.94,3301.43,317
173,impcannon.red,8019.00,35.13,22824.00,8019.00,35.13,8778.32,29.59,798,1185,5625,7608,10.49,73.94,15.58,11499.0,24363.5,1584.84,5638.72,317
174,imptrap.red,7999.00,35.05,22824.00,7999.00,35.05,9018.99,30.40,1040,1689,4879,7608,13.67,64.13,22.20,10260.6,24161.3,1719.55,4610.57,317
175,mft.red,7985.00,34.99,22824.00,7985.00,34.99,8957.02,30.19,1015,1653,4940,7608,13.34,64.93,21.73,8578.2,18932.4,8749.15,2153.94,317
176,s4b.red,7929.00,34.74,22824.00,7929.00,34.74,8668.56,29.22,786,1251,5571,7608,10.33,73.23,16.44,9129.9,18048.7,5848.30,156.69,317
177,creampuff2.red,7919.00,34.70,22824.00,7919.00,34.70,8618.18,29.05,741,1171,5696,7608,9.74,74.87,15.39,7010.5,15495.2,7544.32,58.68,317
178,impring2.red,7861.00,34.44,22824.00,7861.00,34.44,9097.55,30.66,1335,2417,3856,7608,17.55,50.68,31.77,3451.2,7189.2,1370.79,4896.63,317
179,pig.red,7861.00,34.44,22824.00,7861.00,34.44,8630.18,29.09,784,1315,5509,7608,10.30,72.41,17.28,9464.0,22364.9,891.73,6300.51,317
180,impzapper.red,7854.00,34.41,22824.00,7854.00,34.41,9099.85,30.67,1296,2346,3966,7608,17.03,52.13,30.84,10057.6,19274.6,2012.93,3674.80,317
181,minjump.red,7835.00,34.33,22824.00,7835.00,34.33,9351.51,31.52,1686,3145,2777,7608,22.16,36.50,41.34,4973.0,5941.7,1369.14,3157.26,317
182,splat.red,7793.00,34.14,22824.00,7793.00,34.14,8775.45,29.58,1015,1845,4748,7608,13.34,62.41,24.25,7715.4,17024.0,5561.64,900.98,317
183,dwarfer.red,7777.00,34.07,22824.00,7777.00,34.07,8600.09,28.98,784,1399,5425,7608,10.30,71.31,18.39,12597.7,32680.9,3125.54,1219.48,317
184,agony21.red,7754.00,33.97,22824.00,7754.00,33.97,8435.98,28.43,693,1240,5675,7608,9.11,74.59,16.30,8721.3,20366.3,28554.12,93.69,317
