rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
235,crimp.red,6431.00,28.18,22824.00,6431.00,28.18,7401.66,24.95,937,3051,3620,7608,12.32,47.58,40.10,8960.3,14540.4,3860.02,431.45,317
236,terminator.red,6415.00,28.11,22824.00,6415.00,28.11,6600.61,22.25,132,1457,6019,7608,1.74,79.11,19.15,15174.9,12263.6,1395.15,465.59,317
237,killer.red,6356.00,27.85,22824.00,6356.00,27.85,6865.47,23.14,371,1994,5243,7608,4.88,68.91,26.21,12278.9,22750.0,2580.25,565.50,317
238,snowmanv315.red,6344.00,27.80,22824.00,6344.00,27.80,7231.40,24.37,834,2932,3842,7608,10.96,50.50,38.54,10409.5,15993.9,4617.74,430.83,317
239,kobold.red,6289.00,27.55,22824.00,6289.00,27.55,6494.54,21.89,137,1593,5878,7608,1.80,77.26,20.94,9099.9,12085.9,1051.65,329.62,317
240,fleas2.red,6275.00,27.49,22824.00,6275.00,27.49,6939.61,23.39,481,2295,4832,7608,6.32,63.51,30.17,12671.4,26167.7,2932.31,713.09,317
241,scissors31.red,6249.00,27.38,22824.00,6249.00,27.38,6465.50,21.79,141,1641,5826,7608,1.85,76.58,21.57,14356.3,13696.0,5192.67,76.68,317
242,boring3.red,6197.00,27.15,22824.00,6197.00,27.15,6684.45,22.53,480,2371,4757,7608,6.31,62.53,31.16,3109.6,6093.8,1034.20,5439.28,317
243,lobot.red,6170.00,27.03,22824.00,6170.00,27.03,6443.72,21.72,184,1806,5618,7608,2.42,73.84,23.74,9290.0,14103.0,852.85,557.11,317
244,x5v13.red,6149.00,26.94,22824.00,6149.00,26.94,6343.31,21.38,106,1671,5831,7608,1.39,76.64,21.96,17188.0,14291.2,2695.60,365.30,317
245,lookout.red,6131.00,26.86,22824.00,6131.00,26.86,6525.96,21.99,294,2065,5249,7608,3.86,68.99,27.14,12769.3,16715.9,2024.04,962.43,317
246,mutagen.red,6094.00,26.70,22824.00,6094.00,26.70,6375.99,21.49,200,1914,5494,7608,2.63,72.21,25.16,16259.7,14479.9,1210.17,331.45,317
247,idle.red,6093.00,26.70,22824.00,6093.00,26.70,6941.79,23.40,720,2955,3933,7608,9.46,51.70,38.84,6595.0,17205.7,693.36,473.66,317
248,useless.red,6093.00,26.70,22824.00,6093.00,26.70,6941.79,23.40,720,2955,3933,7608,9.46,51.70,38.84,6595.0,17205.7,693.36,473.66,317
249,droid.red,6051.00,26.51,22824.00,6051.00,26.51,6358.19,21.43,142,1841,5625,7608,1.87,73.94,24.20,13809.5,21885.4,7596.81,332.43,317
250,x5v12.red,6036.00,26.45,22824.00,6036.00,26.45,6236.83,21.02,98,1768,5742,7608,1.29,75.47,23.24,14567.5,14557.8,2691.25,339.54,317
251,mutagenpar.red,6029.00,26.42,22824.00,6029.00,26.42,6274.97,21.15,154,1887,5567,7608,2.02,73.17,24.80,15898.4,14299.7,1247.87,311.47,317
252,leprechaun.red,5989.00,26.24,22824.00,5989.00,26.24,6843.66,23.06,725,3069,3814,7608,9.53,50.13,40.34,6257.3,16500.2,1417.43,531.89,317
253,twice.red,5937.00,26.01,22824.00,5937.00,26.01,6700.45,22.58,606,2883,4119,7608,7.97,54.14,37.89,6724.4,18307.1,20271.36,558.05,317
254,pesticide.red,5935.00,26.00,22824.00,5935.00,26.00,6106.77,20.58,72,1817,5719,7608,0.95,75.17,23.88,15655.1,13170.4,2123.06,274.66,317
