rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
1,curated_init_1v1_fixed_mutator.red,18686.00,81.87,22824.00,18686.00,81.87,23304.41,78.54,5658,238,1712,7608,74.37,22.50,3.13,7925.7,25797.1,6755.50,6675.24,317
2,Spiral_Bomber_Optimized_v22.red,16689.00,73.12,22824.00,16689.00,73.12,20584.81,69.38,4950,819,1839,7608,65.06,24.17,10.76,11390.7,18347.5,2636.55,40.65,317
3,random_init_1v1_fixed_mutator.red,16679.00,73.08,22824.00,16679.00,73.08,20739.91,69.90,5046,1021,1541,7608,66.32,20.25,13.42,10060.8,17754.0,760.38,87.12,317
4,curated_init_multi_fixed_mutator.red,15023.00,65.82,22824.00,15023.00,65.82,17785.21,59.94,3939,463,3206,7608,51.77,42.14,6.09,19429.9,33747.3,12800.76,3412.82,317
5,random_init_multi_fixed_mutator.red,12210.00,53.50,22824.00,12210.00,53.50,14716.51,49.60,2879,1156,3573,7608,37.84,46.96,15.19,7629.4,28117.5,21561.08,669.42,317
6,Ring_Warrior_Enhanced_v9.red,8658.00,37.93,22824.00,8658.00,37.93,9996.69,33.69,1527,2004,4077,7608,20.07,53.59,26.34,14747.0,21728.6,5574.65,92.75,317
